taxon	gut_pre_illumina	gut_post_illumina	gut_pre_nanopore	gut_post_nanopore
Agathobacter rectalis	0.14671165263358127	0.018471057004985685	0.06147512245940558	0.07154660444061652
Roseburia faecis	0.11998037704113812	0.028332298820655542	0.02159693075158521	0.024426395329040267
Roseburia intestinalis	0.014797312856041567	0.0021724766233506194	0.013523124542968475	0.023314738961051965
Roseburia hominis	0.001892213890251594	0.00036041086838996456	0.0012120726442216188	0.001151716056924818
Roseburia rectibacter	0.0012414524994243264	0.0	0.0005709763695920022	0.0005207759561747003
Simiaoa sunii	0.04425177457625422	0.023136375468033554	0.018752066032916286	0.003445133248540325
Blautia obeum	0.02319714065456584	0.004445067376809563	0.0025243165813541154	0.001422118957246297
Blautia wexlerae	0.005926934513380655	0.0010712211921590613	0.004768153542557774	0.0052578341729176475
Blautia luti	0.0013916282049998496	0.0	0.0011018842220196538	0.0
Blautia sp. SC05B48	0.0015217804831653033	0.0	0.0006711476625028799	0.0
Coprococcus eutactus	0.01568835537578967	0.007108103237690968	0.0005709763695920022	0.001081611601285916
Coprococcus comes	0.0019522841724818035	0.0005506277155957792	0.0030251730459085035	0.008422549598902365
Coprococcus catus	0.0014917453420501985	0.0	0.00046078794739003696	0.0016724920130995182
Coprococcus sp. ART55/1	0.0009310893745682448	0.0	0.003415841088260926	0.008382489909965849
Mediterraneibacter gnavus	0.003073596107445711	0.0007108103237690967	0.001702911979484919	0.002714043925448919
[Ruminococcus] torques	0.00180210846690628	0.0	0.0018131004016868845	0.002433626102893311
Dorea longicatena	0.002823303264819839	0.0022025108623831167	0.0038465776477777	0.009223743377632671
Dorea formicigenerans	0.001641921047625722	0.0007108103237690967	0.0014224323593344619	0.0008712982343692101
Anaerobutyricum hallii	0.002633080704424176	0.0006507418457041026	0.0012421240320948821	0.0005608356451112156
Lachnospira eligens	0.0016118859065106174	0.0003203652163466352	0.003596149415500506	0.0044566403941873394
Anaerostipes hadrus	0.0008710190923380354	0.0005806619546282762	0.0006410962746296166	0.0005207759561747003
Eshraghiella crossota	0.0005606559674819538	0.0	0.0005709763695920022	0.0
Wujia chipingensis	0.00034039826597118627	0.0	0.0003906680423524226	0.00045067150053579834
Faecalibacterium prausnitzii	0.11570537528908822	0.12922731914382396	0.04180148053170923	0.11191675596638992
Faecalibacterium sp. I4-1-79	0.004315048606870037	0.008209358668882526	0.004237245690130123	0.02345494787232977
Faecalibacterium sp. I4-3-84	0.003934603486078712	0.004835512484232024	0.01288202826833886	0.029964647324513524
Faecalibacterium sp. I3-3-33	0.002172541873992571	0.0030534809683038663	0.0010718328341463904	0.0059889234960090534
Faecalibacterium sp. i21-0019-B1	0.003934603486078712	0.004545181506917886	0.008965330715523545	0.023314738961051965
Faecalibacterium sp. IP-1-18	0.004555329735790875	0.006527441283062691	0.0	0.004937356661425524
Faecalibacterium sp. I3-3-89	0.0007709019552876865	0.0010011413010832348	0.0008514559897424595	0.0029944617480045267
Faecalibacterium sp. IP-3-29	0.0017019913298559311	0.0024628076006647575	0.003165412855983732	0.00897337032177945
Faecalibacterium sp. i25-0019-C1	0.0021124715917623616	0.0029834010772280396	0.009396067275040318	0.030064796546854816
Faecalibacterium taiwanense	0.00644754362604247	0.008209358668882526	0.018141021146159935	0.052167729917577184
Faecalibacterium duncaniae	0.00180210846690628	0.00379432553110546	0.004978513257670616	0.016875143964507115
Faecalibacterium wellingii	0.0008710190923380354	0.0019522255371123077	0.004948461869797353	0.013640324082883496
Ruminococcus bicirculans (ex Wegman et al. 2014)	0.002422834716618443	0.0006807760847365997	0.0025643850985184666	0.0010415519123494006
Vescimonas coprocola	0.0006807965319423725	0.00036041086838996456	0.00241412815915215	0.0022633724249131204
Vescimonas fastidiosa	0.0005606559674819538	0.0	0.0014625008764988128	0.0009013430010715967
uncultured Subdoligranulum sp.	0.0007709019552876865	0.0007508559758124261	0.0	0.0005908804118136023
Eubacterium ventriosum	0.0008710190923380354	0.00039044510742246156	0.0	0.0008011937787303082
Eubacterium ramulus	0.0004004685482013956	0.0	0.0010718328341463904	0.0008712982343692101
Intestinimonas butyriciproducens	0.00034039826597118627	0.0	0.0013523124542968476	0.0005908804118136023
Dialister succinatiphilus	0.010882732797372924	0.037322547704382994	0.0043374169830409995	0.012558712481597581
Dialister sp.	0.0006207262497121632	0.0019822597761448048	0.00036061665447915936	0.0009714474567104987
Veillonella parvula	0.0017320264709710358	0.002332659231523937	0.0	0.0
Veillonella atypica	0.0013315579227696404	0.0014917005386140198	0.0	0.0
Veillonella rogosae	0.001081265080143768	0.0016518831467873373	0.0	0.0
Megasphaera sp.	0.000810948810107826	0.005676471177141941	0.0	0.0
Megamonas funiformis	0.000810948810107826	0.0004905592375307851	0.0	0.0
Streptococcus salivarius	0.00180210846690628	0.0	0.0	0.0
Catenibacterium sp. co_0103	0.0011513470760790123	0.0006807760847365997	0.0	0.0
Catenibacterium mitsuokai	0.0005906911085970585	0.0	0.0	0.0
Faecalibacillus intestinalis	0.0003103631248560816	0.0	0.0	0.00045067150053579834
Bifidobacterium adolescentis	0.0023527527206831994	0.0031836293374446867	0.006691442366446624	0.01743597960961833
Collinsella aerofaciens	0.0013916282049998496	0.0013915864085056963	0.0018131004016868845	0.0016724920130995182
Segatella copri	0.3520118538690267	0.5909536872034119	0.005729797954502199	0.005287878939620034
Segatella hominis	0.010632439954747053	0.01641871733776505	0.0	0.0006609848674525042
Bacteroides caccae	0.014667160577876114	0.009050317361792442	0.0027747448136313095	0.0007611340897937927
Bacteroides thetaiotaomicron	0.004064755764244165	0.0032436978155096804	0.009997095032505584	0.0008312385454326948
Bacteroides xylanisolvens	0.005896899372265551	0.005806619546282761	0.01632792074447305	0.0038257002934372216
Bacteroides nordii	0.000991159656798454	0.0	0.0	0.0
Bacteroides ovatus	0.0035040997967622114	0.0	0.02870909254825752	0.005428087850897838
Phocaeicola dorei	0.00856001521780483	0.0037042228140079687	0.010067214937543199	0.003935864438012639
Phocaeicola vulgatus	0.0021124715917623616	0.0021724766233506194	0.0716124573019864	0.014411473094911418
Alistipes putredinis	0.009431034310142866	0.0024628076006647575	0.03742399503150387	0.007030475408358454
Alistipes communis	0.0015518156242804078	0.0007108103237690967	0.009536307085115547	0.0024736857918298263
Alistipes indistinctus	0.0007709019552876865	0.0005506277155957792	0.0007112161796672309	0.0
Parabacteroides merdae	0.0033539240911866883	0.0010712211921590613	0.0017429804966492702	0.0005207759561747003
Odoribacter splanchnicus	0.0007408668141725819	0.0	0.01444470043774855	0.0012518652792661066
Butyricimonas virosa	0.0005306208263668492	0.0	0.0003906680423524226	0.0
Barnesiella sp. An22	0.00037043340708629093	0.0	0.0008514559897424595	0.0
Haemophilus parainfluenzae	0.0028533384059349436	0.0060969505235969	0.0	0.0
Methanobrevibacter smithii	0.001922249031366699	0.0	0.0005309078524276513	0.001422118957246297
Homo sapiens	0.00046053883043160497	0.0005806619546282762	0.012491360225986436	0.0037555958377983195
Prevotella melaninogenica	0.0	0.0009410728230182407	0.0	0.0
Phocaeicola coprophilus	0.0	0.0006807760847365997	0.00733253864107624	0.001081611601285916
Alistipes finegoldii	0.0	0.0006507418457041026	0.0007813360847048452	0.0
Alistipes senegalensis	0.0	0.0004905592375307851	0.002454196676316501	0.00038056704489689637
Enterobacter roggenkampii	0.0	0.005746551068217768	0.0	0.0
Enterobacter asburiae	0.0	0.0039945537913221064	0.0	0.0
Escherichia coli	0.0	0.011102657029013073	0.00366626932053812	0.00261389470310763
Sutterella faecalis	0.0	0.002042328254209799	0.0	0.0
Sutterella wadsworthensis	0.0	0.0005205934765632821	0.008073806208616734	0.0004206267338334118
Desulfovibrio piger	0.0	0.002532887491740584	0.0012821925492592333	0.0
Subdoligranulum variabile	0.0	0.00042047934645495866	0.0	0.0008312385454326948
Veillonella nakazawae	0.0	0.0013915864085056963	0.0	0.0
Megasphaera elsdenii	0.0	0.0006507418457041026	0.0	0.0
Faecalibacterium sp. I2-3-92	0.0	0.0	0.0018832203067244988	0.006259326396330533
Oscillibacter sp. PEA192	0.0	0.0	0.0012421240320948821	0.0
Oscillibacter hominis	0.0	0.0	0.0005008564645543881	0.00035052227819450983
Dysosmobacter welbionis	0.0	0.0	0.0012821925492592333	0.0011116563679883027
Flavonifractor plautii	0.0	0.0	0.00043073655951677366	0.0
Ruthenibacterium lactatiformans	0.0	0.0	0.0003906680423524226	0.00038056704489689637
Clostridium sp. M62/1	0.0	0.0	0.0006711476625028799	0.0
Blautia hydrogenotrophica	0.0	0.0	0.0005008564645543881	0.0004206267338334118
[Clostridium] scindens	0.0	0.0	0.00036061665447915936	0.00035052227819450983
Clostridioides difficile	0.0	0.0	0.0007112161796672309	0.0005608356451112156
Romboutsia ilealis	0.0	0.0	0.0005008564645543881	0.0008312385454326948
Streptococcus dysgalactiae	0.0	0.0	0.31992707529876085	0.3437121310753022
Streptococcus thermophilus	0.0	0.0	0.0006410962746296166	0.004737058216742947
Ligilactobacillus ruminis	0.0	0.0	0.0007112161796672309	0.0017025367798019046
Acidaminococcus intestini	0.0	0.0	0.00036061665447915936	0.0
Bifidobacterium longum	0.0	0.0	0.0021035971511284297	0.011967832069783978
Bacteroides uniformis	0.0	0.0	0.03557082611265264	0.01071596679051787
Bacteroides eggerthii	0.0	0.0	0.019563453505494394	0.004136162882695216
Bacteroides salyersiae	0.0	0.0	0.014474751825621813	0.002643939469810017
Bacteroides stercoris	0.0	0.0	0.009816786705266005	0.0016324323241630027
Bacteroides fragilis	0.0	0.0	0.00241412815915215	0.0007611340897937927
Bacteroides faecis	0.0	0.0	0.0012120726442216188	0.0
Bacteroides cellulosilyticus	0.0	0.0	0.0007813360847048452	0.0
Bacteroides pyogenes	0.0	0.0	0.0003906680423524226	0.0
Phocaeicola salanitronis	0.0	0.0	0.002173717056166044	0.0
Alistipes shahii	0.0	0.0	0.01928297388534394	0.0038958047490761233
Alistipes onderdonkii	0.0	0.0	0.0016027406865740416	0.0
Paraprevotella clara	0.0	0.0	0.008434422863095894	0.001812700924377322
Paraprevotella xylaniphila	0.0	0.0	0.000961644411944425	0.0004206267338334118
Prevotella intermedia	0.0	0.0	0.001532620781536427	0.0
Pseudoprevotella muciniphila	0.0	0.0	0.0006711476625028799	0.0
Butyricimonas paravirosa	0.0	0.0	0.0006410962746296166	0.0
Parabacteroides distasonis	0.0	0.0	0.009175690430636388	0.004807162672381848
Parabacteroides johnsonii	0.0	0.0	0.0013923809714611985	0.0
Parabacteroides absconsus	0.0	0.0	0.0009215758947800739	0.0
Barnesiella intestinihominis	0.0	0.0	0.0037363892255757344	0.0007611340897937927
Coprobacter secundus	0.0	0.0	0.00043073655951677366	0.0
Muribaculum gordoncarteri	0.0	0.0	0.003055224433781767	0.0016023875574606163
Oxalobacter aliiformigenes	0.0	0.0	0.0012120726442216188	0.0
Pusillibacter faecalis	0.0	0.0	0.0	0.00038056704489689637
Roseburia sp. 499	0.0	0.0	0.0	0.00038056704489689637
Fictibacillus arsenicus	0.0	0.0	0.0	0.0004206267338334118
